antecedents,consequents,support,confidence,lift
MntFishProducts,"MntFruits, MntMeatProducts, MntSweetProducts, MntWines",0.656110836,0.795440912,1.101841044
"MntFruits, MntGoldProds, MntSweetProducts, MntWines","MntFishProducts, MntMeatProducts",0.645719941,0.908141962,1.101653605
"MntFishProducts, MntMeatProducts","MntFruits, MntGoldProds, MntSweetProducts, MntWines",0.645719941,0.783313325,1.101653605
MntFruits,"MntFishProducts, MntGoldProds, MntSweetProducts",0.648688768,0.789759036,1.101520367
"MntFruits, MntMeatProducts","MntFishProducts, MntGoldProds, MntSweetProducts",0.648688768,0.789759036,1.101520367
"MntFishProducts, MntGoldProds, MntSweetProducts",MntFruits,0.648688768,0.904761905,1.101520367
"MntFishProducts, MntGoldProds, MntSweetProducts","MntFruits, MntMeatProducts",0.648688768,0.904761905,1.101520367
"MntFruits, MntGoldProds, MntSweetProducts",MntFishProducts,0.648688768,0.908523909,1.1014558
"MntFruits, MntGoldProds, MntMeatProducts, MntSweetProducts",MntFishProducts,0.648688768,0.908523909,1.1014558
MntFishProducts,"MntFruits, MntGoldProds, MntSweetProducts",0.648688768,0.786442711,1.1014558
MntFishProducts,"MntFruits, MntGoldProds, MntMeatProducts, MntSweetProducts",0.648688768,0.786442711,1.1014558
"MntFishProducts, MntSweetProducts, MntWines",MntFruits,0.656110836,0.904502046,1.101203997
"MntFishProducts, MntMeatProducts, MntSweetProducts, MntWines",MntFruits,0.656110836,0.904502046,1.101203997
"MntFishProducts, MntSweetProducts, MntWines","MntFruits, MntMeatProducts",0.656110836,0.904502046,1.101203997
MntFruits,"MntFishProducts, MntSweetProducts, MntWines",0.656110836,0.798795181,1.101203997
"MntFruits, MntMeatProducts","MntFishProducts, MntSweetProducts, MntWines",0.656110836,0.798795181,1.101203997
MntFruits,"MntFishProducts, MntMeatProducts, MntSweetProducts, MntWines",0.656110836,0.798795181,1.101203997
"MntFruits, MntWines","MntFishProducts, MntGoldProds, MntSweetProducts",0.645719941,0.789473684,1.101122371
"MntFruits, MntMeatProducts, MntWines","MntFishProducts, MntGoldProds, MntSweetProducts",0.645719941,0.789473684,1.101122371
"MntFishProducts, MntGoldProds, MntSweetProducts","MntFruits, MntWines",0.645719941,0.900621118,1.101122371
"MntFishProducts, MntGoldProds, MntSweetProducts","MntFruits, MntMeatProducts, MntWines",0.645719941,0.900621118,1.101122371
"MntFruits, MntGoldProds, MntSweetProducts, MntWines",MntFishProducts,0.645719941,0.908141962,1.100992745
"MntFruits, MntGoldProds, MntMeatProducts, MntSweetProducts, MntWines",MntFishProducts,0.645719941,0.908141962,1.100992745
MntFishProducts,"MntFruits, MntGoldProds, MntSweetProducts, MntWines",0.645719941,0.782843431,1.100992745
MntFishProducts,"MntFruits, MntGoldProds, MntMeatProducts, MntSweetProducts, MntWines",0.645719941,0.782843431,1.100992745
"MntFishProducts, MntMeatProducts, MntSweetProducts",MntFruits,0.659079664,0.902439024,1.09869233
MntFruits,"MntFishProducts, MntMeatProducts, MntSweetProducts",0.659079664,0.802409639,1.09869233
"MntFishProducts, MntMeatProducts, MntSweetProducts","MntFruits, MntWines",0.656110836,0.898373984,1.098374967
"MntFruits, MntWines","MntFishProducts, MntMeatProducts, MntSweetProducts",0.656110836,0.802177858,1.098374967
"MntFishProducts, MntSweetProducts",MntFruits,0.659079664,0.90182803,1.097948463
"MntFishProducts, MntSweetProducts","MntFruits, MntMeatProducts",0.659079664,0.90182803,1.097948463
MntFruits,"MntFishProducts, MntSweetProducts",0.659079664,0.802409639,1.097948463
"MntFruits, MntMeatProducts","MntFishProducts, MntSweetProducts",0.659079664,0.802409639,1.097948463
"MntFishProducts, MntSweetProducts","MntFruits, MntWines",0.656110836,0.897765741,1.097631315
"MntFishProducts, MntSweetProducts","MntFruits, MntMeatProducts, MntWines",0.656110836,0.897765741,1.097631315
"MntFruits, MntWines","MntFishProducts, MntSweetProducts",0.656110836,0.802177858,1.097631315
"MntFruits, MntMeatProducts, MntWines","MntFishProducts, MntSweetProducts",0.656110836,0.802177858,1.097631315
"MntFishProducts, MntGoldProds, MntWines","MntMeatProducts, MntSweetProducts",0.711528946,0.888751545,1.093889691
"MntMeatProducts, MntSweetProducts","MntFishProducts, MntGoldProds, MntWines",0.711528946,0.875761267,1.093889691
"MntFruits, MntGoldProds","MntSweetProducts, MntWines",0.711034142,0.883220652,1.093743221
"MntFruits, MntGoldProds, MntMeatProducts","MntSweetProducts, MntWines",0.711034142,0.883220652,1.093743221
"MntFruits, MntGoldProds","MntMeatProducts, MntSweetProducts, MntWines",0.711034142,0.883220652,1.093743221
"MntSweetProducts, MntWines","MntFruits, MntGoldProds",0.711034142,0.880514706,1.093743221
"MntMeatProducts, MntSweetProducts, MntWines","MntFruits, MntGoldProds",0.711034142,0.880514706,1.093743221
"MntSweetProducts, MntWines","MntFruits, MntGoldProds, MntMeatProducts",0.711034142,0.880514706,1.093743221
"MntFishProducts, MntGoldProds",MntSweetProducts,0.716971796,0.888957055,1.093476694
MntSweetProducts,"MntFishProducts, MntGoldProds",0.716971796,0.881923311,1.093476694
